"site_id","lat","lon","elev","state","common_name","species_id","func_type","id","phenophase","pheno_class_id","year","first_yes","prior_no"
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Open flowers",7,2014,276,7
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Open flowers",7,2015,293,18
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Open flowers",7,2016,287,19
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Open flowers",7,2018,282,20
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Open flowers",7,2019,281,12
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Open flowers",7,2020,276,5
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Open flowers",7,2021,274,8
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Open flowers",7,2022,274,6
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Open flowers",7,2023,273,8
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Open flowers",7,2024,271,7
1373,42.261772,-72.664558,52,"MA","black walnut",80,"Deciduous broadleaf",2177,"Breaking leaf buds",1,2009,105,6
1385,38.845295,-77.329628,121,"VA","red maple",3,"Deciduous broadleaf",2192,"Full flowering (50%)",7,2009,67,1
1385,38.845295,-77.329628,121,"VA","red maple",3,"Deciduous broadleaf",2192,"Open flowers",7,2011,67,1
1385,38.845295,-77.329628,121,"VA","red maple",3,"Deciduous broadleaf",2192,"Open flowers",7,2012,49,1
1386,36.003922,-79.878731,261,"NC","flowering dogwood",12,"Deciduous broadleaf",2197,"Leaves",3,2009,94,6
